Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Run1	Run2	Run3	Run4	Run5	Run6	Run7	Run8
P00001	P00001	GENE1	GENE1	Description 1	2738850.5319824372	11752809.216333266	242421.6319166577	1333453.850670069	656043.5014070529	11040003.741027884	148601195.85712066	11483354.520376848
P00002	P00002	GENE2	GENE2	Description 2	9601348.819032304	1382919.5112704458	7266782.136815617	6470159.209450446	37884414.27224069	415728.74474170775	2530888.6069600685	22426594.39202746
P00003	P00003	GENE3	GENE3	Description 3	4123398.108957398	7847710.853075569	226299.60935618018	7757895.3406545175	14078032.119548498	5640315.603949744	12498783.241348486	6708247.259076809
P00004	P00004	GENE4	GENE4	Description 4	9326657.32105667	11275101.446118407	5663883.923279489	3696585.672575322	1977699.1863913003	6547622.023034721	20606997.22608129	30451084.482672207
P00005	P00005	GENE5	GENE5	Description 5	72868195.10037017	3318876.2608491653	158491.88442952157	11210916.989712866	25562174.642933734	8419559.455557577	4205386.705824098	16134446.56006891
P00006	P00006	GENE6	GENE6	Description 6	4690711.916622804	11659064.531552376	162005373.4566782	6358078.33462143	640017.1942449589	6602544.0512010055	5729147.536596664	20277613.21787118
P00007	P00007	GENE7	GENE7	Description 7	158941363.41341525	394084.136337082	28543592.776896343	1672167.337163896	3485938.6284337277	8072076.052883916	2875839.2436264427	498265.23297953745
P00008	P00008	GENE8	GENE8	Description 8	503242.05046990607	99694668.73903134	42510756.10945601	2072637.4877363988	5234513.287850204	51515126.33766551	654416.571774803	2396868.7290506926
P00009	P00009	GENE9	GENE9	Description 9	5933307.454914218	1950639.4913561183	19113380.03989343	6613925.5311598405	25002258.48614218	11067836.335897705	11862824.291758625	4160885.0178093263
P00010	P00010	GENE10	GENE10	Description 10	1601481.27896347	1126354.9951472378	2464113.4711724236	1572738.5701634332	2757158.029678931	1017872.4959468575	743097.7522238814	10604529.535284344
P00011	P00011	GENE11	GENE11	Description 11	2524752.333105672	2169818.920630094	112212475.96000142	1605122.8425252677	7504096.998158333	13775654.510907814	5796472.952041365	1347434.606409515
P00012	P00012	GENE12	GENE12	Description 12	6008254.258092195	11693834.751026336	1179072.5216133455	8960050.899688218	7847180.060850092	26720795.49756349	8439110.090857448	363203381.94679385
P00013	P00013	GENE13	GENE13	Description 13	10811488.268330956	5894911.596429577	9438475.382644432	7655131.397538626	1978857.3107616284	200856.81883808336	3619040.830046012	6876507.078565955
