ProteinID	GeneSymbol	Description	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16
P00001	GENE1	Protein 1	15311500.015944244	24365952.60972601	2590392.9594018618	29543325.096757885	25106083.7907698	1497855.7433994813	13650638.941030798	4874225.707351777	544584.2385592184	41294677.35223989	3133407.007163033	52411536.80786632	3392301.591915556	200733705.35468242	2224840.514049543	14950770.295643123
P00002	GENE2	Protein 2	19286102.399906516	2691443.8787680333	2248495.8235944277	8595556.902455263	12757277.306460494	9355764.703082198	5871707.480489765	9983674.19393204	1754351.347415525	27437772.7342494	33467886.723759584	6175529.46934046	2983459.4022009517	2466166.952686835	3689454.4644667204	9216715.233536739
P00003	GENE3	Protein 3	4785380.631847606	172753209.11274943	3318380.4922647336	165652463.22186813	3165144.226301357	6110845.4672022695	2380366.169402465	17600034.644254956	3723231.656421071	53010747.03520756	6010680.14515756	15223653.877362983	76519670.23544358	2205263.5373405903	1818773.4855880241	1529263.4481807514
P00004	GENE4	Protein 4	3719353.434469057	20808743.714152284	1965517.7311564668	5150392.902757904	1007872.5163410313	1170068.069484096	22280262.353553638	15800540.698432798	8504427.145839946	25209651.287931107	1049817.763548352	37022739.772571325	1558863.0034140106	6405176.363053287	377945.72233278904	561760080.7799666
P00005	GENE5	Protein 5	5928534.796203617	122675296.95138444	8182074.926597524	785502.1320417213	5191359.034986932	33806258.13312319	839426.9924290075	80760459.98406848	6462149.052720987	13822163.381539892	1640381.5602961325	15480503.41561649	714278.0563985835	26339571.225553658	739631.5436954956	26104657.79231039
P00006	GENE6	Protein 6	480539.3333487676	120588171.44303043	8346629.343316146	5340010.598402822	21619783.989424452	10627494.416645922	6049543.094792701	23372780.05756776	276760.5963903807	2834359.6590593033	2517702.5890335236	20529112.166537818	1550655.4458689347	16884704.51683221	382343.3364184985	12123073.454509282
P00007	GENE7	Protein 7	32443333.590276346	52401909.792125545	17689148.75276325	17236870.007465076	5726346.90423544	24993040.395907737	6110343.932301957	96378020.84252225	28693742.84999199	27108576.034719788	899097.1743609007	25262328.24146061	3118724.869407453	7732080.721678959	3084974.896032319	16453059.188508105
P00008	GENE8	Protein 8	239385.53271458327	44603749.681716464	55639181.66905157	56955100.36105776	2212481.3407281414	93737698.00653882	4261489.304853152	5963682.373029396	862962.3823710299	71372113.980176	2491290.5072050844	2608530.8092195448	2862129.479358075	17195822.954988778	195272.66333820816	18121577.29610415
P00009	GENE9	Protein 9	8679577.989992028	132023400.38843657	6962523.409731223	48981629.34024841	3297415.8445467744	66031476.14188518	15026412.655643363	12820102.790091986	13441433.290449213	134133941.09794909	263261.47369906714	2862915.858994182	5802852.631736967	14938396.261881594	16578347.29736527	32800231.21022719
P00010	GENE10	Protein 10	3097339.462155491	31067088.236490496	3799772.311586619	6069430.139947295	25462933.697556403	174233620.31205466	2307210.6950261164	8132903.971952514	27658017.40569538	92999780.60629058	7641722.6525520105	19665733.62704976	26532118.44081241	34789472.34514244	1086390.5757381914	189269559.166742
P00011	GENE11	Protein 11	8786070.913608601	32460554.721762102	3052203.2071395474	108499328.11052762	7677269.316279601	15262159.486584783	8842440.351019584	26502409.14761809	11136949.223296534	9328835.992165258	4784374.67248225	63233369.40999033	16375574.622568814	15714047.605989175	1460014.4013665477	12891136.853219017
P00012	GENE12	Protein 12	6057100.405060585	19442800.64273399	4041259.524952364	1151663.743018326	2729120.6133942017	4206213.8649024535	768203.8565174512	9327050.936419321	348931495.55590594	12497820.905238532	2512905.582912902	99776182.6837766	2289271.318593465	56771561.95123612	2956919.280468483	2824784.7373992037
P00013	GENE13	Protein 13	2470636.9775343128	1418549.2388332444	3384996.9122698326	10497331.859124012	539064.054396563	4762059.041278124	865108.1350518588	4829890.5253046565	6259911.570732039	66645419.436200425	6595760.521521281	782613.4231822925	2132817.550761655	16882836.185991727	5101591.476991496	196624949.93037942
P00014	GENE14	Protein 14	421652.8194393816	34114997.2711835	1187906.4826474509	7317595.743214774	4463384.468348814	59864588.26195511	4785200.946037592	1227629.7840927874	50838789.0780754	76071016.46356414	15998329.242023194	29113741.995746892	14532679.845208352	64242099.93147518	2531310.8803698467	5447351.038449856
P00015	GENE15	Protein 15	1871866.2678202435	16350999.324646976	3803972.385571823	3731004.717579382	1537399.6685423036	13649972.26347018	2087080.8181900855	6493893.354966407	11319545.381045837	7401772.0746461125	12141942.22465413	2797981.2477258286	6860425.432022006	75864370.23493125	2588799.383689503	18091458.19647726
