ProteinID	GeneSymbol	true_log2fc_Treatment_vs_Control	true_de
P00001	GENE1	2	TRUE
P00002	GENE2	2	TRUE
P00003	GENE3	2	TRUE
P00004	GENE4	2	TRUE
P00005	GENE5	2	TRUE
P00006	GENE6	2	TRUE
P00007	GENE7	2	TRUE
P00008	GENE8	2	TRUE
P00009	GENE9	2	TRUE
P00010	GENE10	2	TRUE
P00011	GENE11	2	TRUE
P00012	GENE12	2	TRUE
P00013	GENE13	2	TRUE
P00014	GENE14	2	TRUE
P00015	GENE15	2	TRUE
P00016	GENE16	2	TRUE
P00017	GENE17	2	TRUE
P00018	GENE18	2	TRUE
P00019	GENE19	2	TRUE
P00020	GENE20	2	TRUE
P00021	GENE21	2	TRUE
P00022	GENE22	2	TRUE
P00023	GENE23	2	TRUE
P00024	GENE24	2	TRUE
P00025	GENE25	2	TRUE
P00026	GENE26	2	TRUE
P00027	GENE27	2	TRUE
P00028	GENE28	2	TRUE
P00029	GENE29	2	TRUE
P00030	GENE30	2	TRUE
P00031	GENE31	-2	TRUE
P00032	GENE32	-2	TRUE
P00033	GENE33	-2	TRUE
P00034	GENE34	-2	TRUE
P00035	GENE35	-2	TRUE
P00036	GENE36	-2	TRUE
P00037	GENE37	-2	TRUE
P00038	GENE38	-2	TRUE
P00039	GENE39	-2	TRUE
P00040	GENE40	-2	TRUE
P00041	GENE41	-2	TRUE
P00042	GENE42	-2	TRUE
P00043	GENE43	-2	TRUE
P00044	GENE44	-2	TRUE
P00045	GENE45	-2	TRUE
P00046	GENE46	-2	TRUE
P00047	GENE47	-2	TRUE
P00048	GENE48	-2	TRUE
P00049	GENE49	-2	TRUE
P00050	GENE50	-2	TRUE
P00051	GENE51	-2	TRUE
P00052	GENE52	-2	TRUE
P00053	GENE53	-2	TRUE
P00054	GENE54	-2	TRUE
P00055	GENE55	-2	TRUE
P00056	GENE56	-2	TRUE
P00057	GENE57	-2	TRUE
P00058	GENE58	-2	TRUE
P00059	GENE59	-2	TRUE
P00060	GENE60	-2	TRUE
P00061	GENE61	0	FALSE
P00062	GENE62	0	FALSE
P00063	GENE63	0	FALSE
P00064	GENE64	0	FALSE
P00065	GENE65	0	FALSE
P00066	GENE66	0	FALSE
P00067	GENE67	0	FALSE
P00068	GENE68	0	FALSE
P00069	GENE69	0	FALSE
P00070	GENE70	0	FALSE
P00071	GENE71	0	FALSE
P00072	GENE72	0	FALSE
P00073	GENE73	0	FALSE
P00074	GENE74	0	FALSE
P00075	GENE75	0	FALSE
P00076	GENE76	0	FALSE
P00077	GENE77	0	FALSE
P00078	GENE78	0	FALSE
P00079	GENE79	0	FALSE
P00080	GENE80	0	FALSE
P00081	GENE81	0	FALSE
P00082	GENE82	0	FALSE
P00083	GENE83	0	FALSE
P00084	GENE84	0	FALSE
P00085	GENE85	0	FALSE
P00086	GENE86	0	FALSE
P00087	GENE87	0	FALSE
P00088	GENE88	0	FALSE
P00089	GENE89	0	FALSE
P00090	GENE90	0	FALSE
P00091	GENE91	0	FALSE
P00092	GENE92	0	FALSE
P00093	GENE93	0	FALSE
P00094	GENE94	0	FALSE
P00095	GENE95	0	FALSE
P00096	GENE96	0	FALSE
P00097	GENE97	0	FALSE
P00098	GENE98	0	FALSE
P00099	GENE99	0	FALSE
P00100	GENE100	0	FALSE
P00101	GENE101	0	FALSE
P00102	GENE102	0	FALSE
P00103	GENE103	0	FALSE
P00104	GENE104	0	FALSE
P00105	GENE105	0	FALSE
P00106	GENE106	0	FALSE
P00107	GENE107	0	FALSE
P00108	GENE108	0	FALSE
P00109	GENE109	0	FALSE
P00110	GENE110	0	FALSE
P00111	GENE111	0	FALSE
P00112	GENE112	0	FALSE
P00113	GENE113	0	FALSE
P00114	GENE114	0	FALSE
P00115	GENE115	0	FALSE
P00116	GENE116	0	FALSE
P00117	GENE117	0	FALSE
P00118	GENE118	0	FALSE
P00119	GENE119	0	FALSE
P00120	GENE120	0	FALSE
P00121	GENE121	0	FALSE
P00122	GENE122	0	FALSE
P00123	GENE123	0	FALSE
P00124	GENE124	0	FALSE
P00125	GENE125	0	FALSE
P00126	GENE126	0	FALSE
P00127	GENE127	0	FALSE
P00128	GENE128	0	FALSE
P00129	GENE129	0	FALSE
P00130	GENE130	0	FALSE
P00131	GENE131	0	FALSE
P00132	GENE132	0	FALSE
P00133	GENE133	0	FALSE
P00134	GENE134	0	FALSE
P00135	GENE135	0	FALSE
P00136	GENE136	0	FALSE
P00137	GENE137	0	FALSE
P00138	GENE138	0	FALSE
P00139	GENE139	0	FALSE
P00140	GENE140	0	FALSE
P00141	GENE141	0	FALSE
P00142	GENE142	0	FALSE
P00143	GENE143	0	FALSE
P00144	GENE144	0	FALSE
P00145	GENE145	0	FALSE
P00146	GENE146	0	FALSE
P00147	GENE147	0	FALSE
P00148	GENE148	0	FALSE
P00149	GENE149	0	FALSE
P00150	GENE150	0	FALSE
P00151	GENE151	0	FALSE
P00152	GENE152	0	FALSE
P00153	GENE153	0	FALSE
P00154	GENE154	0	FALSE
P00155	GENE155	0	FALSE
P00156	GENE156	0	FALSE
P00157	GENE157	0	FALSE
P00158	GENE158	0	FALSE
P00159	GENE159	0	FALSE
P00160	GENE160	0	FALSE
P00161	GENE161	0	FALSE
P00162	GENE162	0	FALSE
P00163	GENE163	0	FALSE
P00164	GENE164	0	FALSE
P00165	GENE165	0	FALSE
P00166	GENE166	0	FALSE
P00167	GENE167	0	FALSE
P00168	GENE168	0	FALSE
P00169	GENE169	0	FALSE
P00170	GENE170	0	FALSE
P00171	GENE171	0	FALSE
P00172	GENE172	0	FALSE
P00173	GENE173	0	FALSE
P00174	GENE174	0	FALSE
P00175	GENE175	0	FALSE
P00176	GENE176	0	FALSE
P00177	GENE177	0	FALSE
P00178	GENE178	0	FALSE
P00179	GENE179	0	FALSE
P00180	GENE180	0	FALSE
P00181	GENE181	0	FALSE
P00182	GENE182	0	FALSE
P00183	GENE183	0	FALSE
P00184	GENE184	0	FALSE
P00185	GENE185	0	FALSE
P00186	GENE186	0	FALSE
P00187	GENE187	0	FALSE
