ProteinID	GeneSymbol	Description	Before_P1	Before_P2	Before_P3	Before_P4	Before_P5	Before_P6	After_P1	After_P2	After_P3	After_P4	After_P5	After_P6
P00001	GENE1	Protein 1	7894173.733251065	2509015.6619795784	2643551.1550081302	2951126.3757221303	12442302.95832051	1955811.74258031	23601559.902416974	6286959.114673538	4852664.799183817	6084763.938433708	7853021.516725015	21479449.438325014
P00002	GENE2	Protein 2	1678260.6027441898	1948722.4516181739	9204679.959374292	5240606.696643403	12040426.668469667	33290873.74578585	27117278.788323324	13200143.765348477	4873821.489193455	32478232.739488207	40788586.22917992	793197.4747862275
P00003	GENE3	Protein 3	9518263.683438273	11572958.896847697	22208295.496350963	826696.6327866192	5305397.076159887	18758414.600923236	2706142.680990341	5275753.95205593	30262801.159544528	159708392.51021042	11645858.013887279	10571762.008720836
P00004	GENE4	Protein 4	28431870.557687636	7634845.925262367	5454674.823454379	7726320.96409039	5063605.735162542	29721973.170147877	174302153.81679922	1495106.6879998078	21849359.2262038	58209928.30679631	2383199.3099952387	172157682.0350355
P00005	GENE5	Protein 5	8264418.868406365	994580.5724223014	1369706.368522903	3077291.0290958895	13260284.434847748	10500101.319938984	11745727.468444405	5040019.502781726	26674252.403703175	144708122.10249388	1211756.332304044	51898892.39190548
P00006	GENE6	Protein 6	1741131.298727277	2391288.255067405	1482081.2312871777	2412703.031570463	1141527.9729966884	33734025.35017766	5561435.786824107	42413117.14026018	3894159.0644404413	80952415.09848689	3320531.012635531	6421510.101974301
P00007	GENE7	Protein 7	4197384.010738959	2669542.305874112	1733790.3418685878	26603557.73896622	14170301.975484822	3117627.6753592365	30001443.75696234	3954244.927471726	10420655.684628017	8865221.814439524	3823305.9642632063	38213138.29759882
P00008	GENE8	Protein 8	6043711.532726609	51640628.530334555	413617.8385853341	4546598.885015168	477761.86284440715	5738292.503241823	19435909.862969544	10266830.615890834	25750065.00105255	84112952.78640659	851162.6520230103	26641064.26053742
P00009	GENE9	Protein 9	25686442.00147264	2439583.772500404	359203.49980867945	3882699.4532620464	6568260.426349102	31396134.315702718	9136264.27980437	100486472.18099311	1101211.1989268526	3725287.8212269032	5128531.277843502	12548532.487514332
P00010	GENE10	Protein 10	1569662.299122045	711618.1545473285	285072.63768097543	178937545.77134284	3850016.7965078475	14818195.41841788	9773142.66450427	18267969.10907345	41253020.86172668	5841364.322089966	19233148.155560568	21586041.2679165
P00011	GENE11	Protein 11	7391598.888760392	628310.1254631289	4415030.183037939	64257359.55988972	1601088.0183280949	51352033.77762674	7599482.418932993	4459386.278447519	73027042.60706894	6075191.626016911	35329316.84724106	1845100.7539312893
P00012	GENE12	Protein 12	4248145.040563925	130064.01088427876	7199147.45179039	6950842.098020842	4778090.208292294	15816535.989706604	33145599.49811883	11074414.693143541	5006786.242510792	1643075.7971461709	38260095.315298915	47652223.55399256
P00013	GENE13	Protein 13	3438017.2019615173	191837.5958534759	387479.9117990139	3608863.027714074	1149548.974530002	19306303.41340665	8952611.687467186	5774694.952129329	136945947.61950082	4370258.002386903	43989219.64830022	3192241.0387633382
P00014	GENE14	Protein 14	4629675.810643341	4759957.988301696	687760.6858914056	27346492.139032114	22290771.829900894	3783305.1405420876	17647201.66156797	2634355.847240225	579358.0454342503	114224742.3966652	15622540.893141327	15527163.668305693
P00015	GENE15	Protein 15	49805979.871044815	117592.8299338975	318518.60387632455	28620218.146224238	5088283.592101559	15557044.585038258	17943060.08830603	9462757.63187428	5833103.465400633	77779442.60762228	13819008.722071726	18382725.313921995
P00016	GENE16	Protein 16	731984.3592940263	2422044.4908190537	1600206.5623267603	12615363.845645996	106241277.13931984	28264766.108886417	7197482.0470913015	71703115.52079016	1402909.8873998118	18346113.91352912	2368510.510493716	13322916.53581166
P00017	GENE17	Protein 17	505074.818144139	3897107.7649301845	421564.09142177826	3479094.8604993615	1311236.7603887063	1279584.7770893986	46772204.083907954	15351931.925904926	11651411.197750775	621372502.882218	836704.5989511904	108869132.50729561
P00018	GENE18	Protein 18	782590.0459875622	2647364.1104558944	2533264.7004552283	9606103.269855835	3269559.819441436	9310817.13170952	93355612.72852246	5845400.516414107	1204514.661690909	147493528.63520622	30625469.10398235	29069196.900068354
P00019	GENE19	Protein 19	5428753.434710008	2044142.2757021596	13682346.167261064	51529618.41854722	767945.6340024741	14933007.742008539	25060663.32186408	171837607.49283758	1871058.4471310514	28333019.48947419	332488.4790390234	79570318.01462913
P00020	GENE20	Protein 20	28766743.31968779	800582.1264791681	8720599.931928428	1929640.4317554715	3501871.798438627	44733873.87716763	56031342.18033342	7113315.677331508	10419817.05072348	127304967.56548847	5413364.834794354	23593206.775795236
P00021	GENE21	Protein 21	4429563.865287152	2768094.1841901774	13066243.530585296	10501490.18710133	499562.39857688465	4856697.451117503	199830692.133435	6898708.807347013	1838158.7873941222	7093973.070151069	3285193.087127654	2036408.3875616041
P00022	GENE22	Protein 22	1478988.311842809	122024.30240669393	1111989.316545336	10005962.649358362	4949217.255082756	294506144.10302466	79461509.531006	96513810.14836429	7915644.275945364	18215009.58124822	20363325.696030397	13030013.032561038
P00023	GENE23	Protein 23	45629778.37935328	17475286.393394027	890219.7060884135	806135.0101910727	321760.6830877894	2636107.0099339047	3654817.9975581723	17050450.15918809	15089543.719180103	13689006.933297018	9069044.99683095	24656084.235267095
P00024	GENE24	Protein 24	3626303.256517366	1114046.6758610988	127382.07497061015	25904252.587522708	103143.55691528715	5689705.05017008	26181674.026014987	71309522.03214055	8946277.13040639	8774558.036205878	22695101.50784671	112130921.76725203
P00025	GENE25	Protein 25	426208.13330802054	1202672.0784885276	780664.2846882517	6178848.156222382	5264953.104748113	53515963.5939669	51306697.56035094	4572407.992223378	56688383.54915397	18768688.689845327	7753390.893500662	8329084.866611806
P00026	GENE26	Protein 26	5331077.745385112	2042425.0798667823	6881993.690084477	1446313.4826602577	292370.41901659465	7302779.805387435	1167934.5305784359	1534226.101299807	2906801.7135717836	1765791.8157790937	4431153.603206981	9744514.160558246
P00027	GENE27	Protein 27	9992766.444206731	16726970.323968498	3708783.403964352	5649454.866853265	3923216.3908347692	7350138.150537552	2704564.791258136	2698502.8473729636	1923880.4621082763	65520560.20019283	32937883.336740177	33219363.797086027
P00028	GENE28	Protein 28	5959898.922205675	1700477.258680016	3171786.7253731354	19054216.982363775	77225398.91748999	1376038.8309880556	4999521.2612820435	1969091.693802094	12647847.469686907	20485177.22478919	7484025.2877868	13483521.482321026
P00029	GENE29	Protein 29	1958991.006654106	2290506.1069097333	1423825.2074504525	40189436.933291495	2610780.216508797	136892314.70621777	4051684.615769694	17269566.41523386	2253072.1206794707	132711.19547300113	2733164.7213179874	1807443.2772735546
P00030	GENE30	Protein 30	2732759.4974706266	10602051.587608429	1979214.1242436718	3633980.159076696	4837308.462989986	4923807.73345449	284252.41153125226	4977935.103086403	2934868.017115963	2133053.677619985	3088297.10755821	4031169.7220746176
P00031	GENE31	Protein 31	41383126.88591961	466837.6578815609	26859405.780928865	6994710.1827568775	17689744.007649235	18996362.63598776	11513240.728508435	3535741.0313257873	2006972.0757585948	30273559.54223758	10728820.956934795	29512364.48343945
P00032	GENE32	Protein 32	3280143.4997701864	1847520.9266988826	222679.20112355502	13957927.205195071	621421.3746537683	3130976.016742415	1127260.7545338387	763783.2357907952	1004829.4541920974	8629611.351775272	10510638.023289494	2501912.417435086
P00033	GENE33	Protein 33	3404774.566228861	7408815.661247922	4437477.207235914	3695947.4901340953	3119541.9429467726	14762594.622815171	7579387.230358602	2588663.027043871	724894.7279742429	8572491.91697507	7946685.39820991	1232708.35949316
P00034	GENE34	Protein 34	383869.0575068262	34096.95566994062	5933315.671422681	32653530.44211799	30207487.24045935	20044557.539767027	5333504.798945574	2743321.313508743	4926305.380179675	15293618.471103074	6406842.056538099	4537442.111186293
P00035	GENE35	Protein 35	1185421.709277199	8843974.320159586	72707.95321542853	67949569.79741618	4856724.300114435	23236322.374167502	12919876.746911274	95291.05051075299	937061.4356937477	2454709.890981979	8218739.9979333	5479163.0864616195
P00036	GENE36	Protein 36	5249596.765702908	14877805.433388134	9906069.13619118	9574018.585236007	7557913.8874542	3709236.1453399765	4743800.594412942	1122408.7208255848	1281855.6515981657	14361811.761166463	6256502.818201036	6837277.414656463
P00037	GENE37	Protein 37	28288019.782161616	6842912.99151676	90551393.5902815	235688983.39469948	14580126.0265703	2229272.6586658037	1794610.0727614218	2505215.3074238575	10406195.482150773	10453220.960839475	554229.8659608754	5162498.74396019
P00038	GENE38	Protein 38	15096653.696748499	9453219.619636279	3308691.716219605	1051318.7943937902	25636174.98159218	4325801.610164745	4618985.663565514	1727719.9448818082	5396451.802034904	8334524.141977381	2202306.260082877	111601044.57573594
P00039	GENE39	Protein 39	16227687.531173699	76109458.11632568	80230442.4717367	102594777.96894477	7947249.006669497	12426005.11356204	6955293.68877845	15276885.234477311	6267092.514088829	29282092.38289412	1414007.3190386582	5398177.753396188
P00040	GENE40	Protein 40	9200770.402882524	206125.58694649808	788818.3342252673	18296576.4876583	1544174.412677563	91928010.59911509	15174523.928127382	3340955.49048166	259437.93401788943	89852462.0992501	5873004.625886443	27015329.442465767
P00041	GENE41	Protein 41	1661800.724299294	781955.7323415027	968999.8752807481	18207038.8787075	8851851.360291911	22630319.437093146	18243309.32491004	2457474.01105148	1276286.1269459354	43894417.15784717	1881821.5099083576	10679444.652065367
P00042	GENE42	Protein 42	7362110.948505638	2687780.400014846	23242191.37790475	2563517.3965317877	1677675.280387609	23471959.778125767	4346207.138114653	11788751.44000764	1508385.2550964658	13587600.3485454	1167493.8932917188	5472306.676830328
P00043	GENE43	Protein 43	401518.0435742955	6850112.411851411	6107754.363607255	5772999.467580976	4363639.868646873	1470299.7988205561	1571440.0240491938	8986443.25676339	110542350.25192031	3004612.7127068373	19696538.36299357	1262735.528746491
P00044	GENE44	Protein 44	8158406.090737034	7238354.153417211	61382.029432469564	1708524.962066968	1197636.0466700613	5747405.387813547	1065913.7487361315	12919998.391055115	175410.66075997674	2417740.246752455	15009374.870751036	3938740.0957103106
P00045	GENE45	Protein 45	20126233.601144824	1483807.11600692	4114928.6642109533	9175533.03408142	618218.890432259	16278561.4689789	3981582.5427055527	275885.7442885716	9221221.103793379	1785474.2202094079	330082.7235924352	45795010.0586621
P00046	GENE46	Protein 46	6085495.398613223	4435142.703505701	5748707.96157039	6775591.582688054	5901568.500734082	7094585.062704756	13922058.073290069	2096593.5743040808	2473463.8481332385	441044.44465870026	594303.9698932032	46924923.24506056
P00047	GENE47	Protein 47	6362726.4835852	519462.71235451725	9462012.289882477	3127987.9114535153	1863683.5537755326	4464732.280336021	8190526.709566537	613754.1373259623	566665.7361026563	1845645.9041523242	2137462.2409767588	3054989.0821313797
P00048	GENE48	Protein 48	1039127.6628503182	1006492.8046263815	5140195.908146099	18366497.97986839	1201850.9719086606	42408706.63024695	857780.826823851	863805.9441980709	2518642.4757604375	10598099.662757698	6949995.3394579645	1726040.476650065
P00049	GENE49	Protein 49	3450013.605347616	1046003.1268927994	2513384.681031834	16307797.948827472	693264.6535925679	17357947.425458036	478664.14620750333	2046500.1725771974	140057.50105010215	315213.2408570775	1773019.1721240354	29485853.413251497
P00050	GENE50	Protein 50	934552.4457931085	6150681.330728142	2845301.828478675	246912.13183461616	6324124.145850229	61701141.999499284	24926310.623252954	659589.1446640451	1365031.7410190946	15795142.226514768	148631.40855888507	6659724.221514043
P00051	GENE51	Protein 51	443897.0157406363	6014718.258726862	8319937.39804279	396767.82993741456	462567.7770703378	9848639.020486189	8336567.06284419	2653190.165541745	154881.79187107223	54556985.51690745	4332022.040798591	2438899.01984702
P00052	GENE52	Protein 52	30021731.84238165	3666528.2830000203	469233.2011844645	744123.6765533175	844433.6445976045	446352.39156042895	2417605.6735606287	14190641.667378835	2309212.3686717497	802488.9259024331	1599573.5562862968	28370825.63312328
P00053	GENE53	Protein 53	1068835.4063383213	499427.6208744553	2210228.294215727	6079545.17445255	1019953.7035517412	109532598.9094989	2979213.1080606473	3513845.240844987	2554676.1007248135	1045399.9083360133	411457.7488198182	13991492.682643801
P00054	GENE54	Protein 54	9300300.68797225	1145289.9482875264	3071708.147281331	38611936.1797607	42645120.55950639	53635001.83522539	13974750.642249385	1350085.5285674247	2964821.8760652887	5137807.787140891	302009774.74125975	7633503.176507358
P00055	GENE55	Protein 55	662979.0821135701	2477975.90359704	2357104.1684796354	16611252.978970189	48265477.155838214	617694519.8891304	1497584.2794522366	1811341.8887594766	223984.6467542982	7448403.088896698	2987528.4348812676	1792708.5371484403
P00056	GENE56	Protein 56	439974.3360227954	665085.5332912107	2488550.7799772928	30299648.68114212	746353.2488226676	5943955.919113431	1542543.430882347	8901345.63819119	1035173.8047753632	678715.1671856238	1442641.7391648395	26202213.16959771
P00057	GENE57	Protein 57	76708043.15043849	2016345.473959253	245751.44025232058	11437865.010759136	24934866.362837803	1584316.4567022673	199676.3770340316	1377105.3774179178	10304742.87613848	235577.80351902172	1293171.1162780856	5916432.334246327
P00058	GENE58	Protein 58	11201894.91843072	19436624.432425525	19651683.325763516	2783220.007101193	44874.556114338666	3952712.786318654	2338751.0337383454	6705601.157833956	7250800.795782079	29471662.774348326	573443.2384580417	53725007.87009472
P00059	GENE59	Protein 59	2763187.6740886797	518953.10965744563	4787923.630836121	30015194.046130303	764134.8530330422	27541827.623072278	9841559.587260913	1504457.450327608	9580569.834985213	3073786.467701502	10348625.500438178	1836096.0955842175
P00060	GENE60	Protein 60	18646519.292700164	10276195.587778619	11142324.936930964	52032520.68942186	9362206.552654704	5050598.252625469	944840537.5117803	48753.68972443503	1316406.4383615619	15761384.469770871	869909.8764667028	565142.062219714
P00061	GENE61	Protein 61	2978863.1084184716	6370961.414893694	25890206.37539515	30053174.037031937	16696509.68206365	59309707.155301355	2233249.5481173787	5098716.345515855	2412309.26807301	833978.3599865565	1365658.8747534065	33804976.4485514
P00062	GENE62	Protein 62	989682.6705048908	563976.3305091285	276383.98979592323	6211244.07106498	5255766.804985751	4560585.185379748	3845137.130772165	6742926.027437615	1223617.9402736272	15860659.982298847	7013022.732783052	26175220.341241222
P00063	GENE63	Protein 63	2401252.867729108	9968056.80299135	223658.46274069688	7872024.820976292	24429210.925688926	5980568.7798040705	3680071.061660485	1542329.6429182123	914310.9023034048	145929.5426643966	1810019.7738912117	259343.59365156855
P00064	GENE64	Protein 64	2521231.8465802767	4965612.126428493	208057.71444586996	1214162.1378752915	509574.7154752774	15935109.783024918	15652293.03390908	387814.10613319103	9066292.671208804	3726512.9685133523	601197.7455834846	4505035.787089361
P00065	GENE65	Protein 65	608375.8095947054	548821.302467991	3367274.763446671	809439.8055847123	15276643.74521283	14232118.458113404	83806851.3290873	1429294.2439436247	320170.40905916144	9702270.923586411	11747752.321068963	12868650.038044453
P00066	GENE66	Protein 66	3114723.1819173614	3383727.130802989	4354808.288655972	7520553.479484258	737180.7188983215	44342833.358026594	4666868.1321179345	6248298.631704163	4551050.968792529	23866588.151227836	984725.2330965758	41050680.296241075
P00067	GENE67	Protein 67	5532343.642781831	376444.0906276729	11362596.765125083	5989707.763326627	3635147.4343351866	17905808.008101795	1188416.3390196583	278662.98005519924	34148101.167671494	13990976.56418669	1225758.778158141	4739742.800137739
P00068	GENE68	Protein 68	7320004.425793444	107409.64681458526	25614649.1159029	23201354.770921938	581037.6445430068	15219938.35902192	2002858.688376049	1800863.296327664	8440698.883518819	646556.6425835113	2377482.1045813235	7038430.536294777
P00069	GENE69	Protein 69	3500918.9660673034	126729114.74926357	615924.9832556724	22953812.600117162	19476664.881628964	13221993.38619422	27292766.69200596	5171189.267698893	889028.6980948693	15372810.31095043	10130774.80074351	34398408.48335205
P00070	GENE70	Protein 70	5014558.0881839	1006525.4225364008	1962492.2832575017	68499471.74450573	1852957.3987679798	8873089.38448046	1464254.8654147706	15268104.58889502	5082439.479377216	6332601.071035719	820391.0631239221	2190292.8569198283
