ProteinID	GeneSymbol	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12
P00010	GENE1	2652497.604775122	3773182.8542625424	6607572.896034645	19157326.73324317	6695909.564292241	138084.0281897266	405555.30279215856	2862570.1212347453	2603176.2363697346	6193112.485947551	292950.46803431265	4442755.619689221
P00040	GENE2	15544941.348060105	1342820.1207115927	7001025.85787343	26245819.825863305	1335778.6492812608	2185122.320753031	227038.02548280437	11062507.913254656	58273924.29191993	177467.66214711824	4835414.867984812	32642900.97841877
P00056	GENE3	1860073.9651504946	2310961.497366664	288512.3402644148	31918191.99574321	140811.0177688931	3078421.481136381	25482091.794011723	12020832.099251846	14373998.818325158	488038.67098896543	7667367.428430356	6747370.465972372
P00032	GENE4	5073455.551145423	1730140.7076028043	4485047.149739088	2689772.058219494	6200503.195516982	10470911.578480216	9326790.82811452	8989269.749758234	2852858.1410193625	12889084.667938346	827066.7255459033	3572033.422395504
P00058	GENE5	2089997.7951294472	934342.6226487673	1682137.3107970234	3712461.6696934546	1101682.8507362232	196504.12379463462	26247831.38408741	607689.6659537902	2624335.8570006914	688997.2038633379	3126651.243622675	5834633.071278718
P00038	GENE6	10843954.528979829	4577980.022346948	17869131.117740806	8782657.340770442	5128221.509059339	15647553.63892601	8495682.946018185	2124256.619711444	1803449.0192363504	9493990.348279372	23273550.359369244	12677659.869704412
P00033	GENE7	5085987.369557882	10391878.385056227	16497869.371633394	447378.6460211227	12518297.067710213	65806305.40586597	1023474.8881023348	15169240.616017045	7573200.333708785	2890017.963702336	1043914.25138957	3399880.4072297593
P00072	GENE8	1696972.4596777929	53852242.418062575	24687891.933654908	4472398.901277273	590039.5952945926	6842743.023046417	7359873.755118	4205173.9823827045	2566439.8975636666	1666828.0319786475	2240256.3604989485	10704136.489413718
P00013	GENE9	5060786.666309875	2922410.870296465	3485633.6292305333	1550108.3138121865	1098061.178171336	947869.6999830296	29367166.340636093	1653122.752486709	1515542.6945198628	2441512.3939821026	5177500.790080406	7282421.975439194
P00096	GENE10	2801624.546216674	112288632.4568519	13403685.380298262	3816274.564879655	42834968.90470127	5569884.566425695	927336.5622217834	5608551.462801064	91440287.04281364	727775.1343143609	1078047.4092226957	1834437.566655095
