R.FileName	PG.ProteinGroups	PG.Genes	EG.IsDecoy	EG.Qvalue	PG.Qvalue	PG.Quantity	PEP.Quantity	FG.MS2Quantity	EG.ModifiedSequence	PEP.StrippedSequence	FG.Charge
File4	P00051	Gene_0	False	0.006656161234146254	0.0036996165850069172	44490696.137121156	1299350.2106922234	929180.9294527349	[Prot]PEPT0	PEPT0	3
File4	P00018	Gene_1	False	0.01983481168032575	0.002447379185007683	4463377.980071353	1804148.3524653565	507774.11340349895	[Prot]PEPT1	PEPT1	3
File7	P00042	Gene_2	False	0.0027897949972007473	0.00327672289607952	285520.8911906492	1931112.2962561515	4221867.669686401	[Prot]PEPT2	PEPT2	2
File4	P00057	Gene_3	False	0.0043873811031480605	0.018396083267771885	12687505.101289753	45607790.77211113	196040.87001629442	[Prot]PEPT3	PEPT3	4
File8	P00068	Gene_4	False	0.015676991124076417	0.0005007110261001669	1086441.6146117721	1069605.8029490383	76854.66641305729	[Prot]PEPT4	PEPT4	3
File7	P00019	Gene_5	False	0.00027329998294544077	0.0025251003248147287	12361522.925897526	5051725.371081912	55823.45236037176	[Prot]PEPT5	PEPT5	4
File3	P00003	Gene_6	False	0.002079099648314586	0.010328783852648878	1631605.1277981496	2407923.965757287	357219.7754723288	[Prot]PEPT6	PEPT6	4
File8	P00004	Gene_7	False	0.014117202514215372	0.011411075193792126	17840726.284275267	231993.62329120023	83371.36397752509	[Prot]PEPT7	PEPT7	2
File5	P00045	Gene_8	False	0.013742173229082824	0.010387790911689168	1354576.5427943857	609448.973488519	37998.36906764063	[Prot]PEPT8	PEPT8	3
File4	P00103	Gene_9	False	0.01853488734544267	0.016439928911786333	5647632.417706198	3461036.7279414805	340888.8695918484	[Prot]PEPT9	PEPT9	2
File8	P00066	Gene_10	False	0.013921653594036439	0.015662184463100304	2931753.8722827807	5901754.503709741	252776.70386252415	[Prot]PEPT10	PEPT10	3
File4	P00072	Gene_11	False	0.01863126829076139	0.015145172873509319	1953890.8182124859	1098872.3164428738	337676.6722192924	[Prot]PEPT11	PEPT11	3
File3	P00117	Gene_12	False	0.012804789898493945	0.0009160430687110455	115668194.09693713	673352.2366028104	31930.297444957243	[Prot]PEPT12	PEPT12	4
File8	P00100	Gene_13	False	0.006006872009999385	0.012295121642809562	3432128.4024613528	585881.1392127969	4480248.640776713	[Prot]PEPT13	PEPT13	3
File8	P00068	Gene_14	False	0.003796638886371788	0.014870744943926048	13752168.867827902	1452819.0361289952	403020.4517665252	[Prot]PEPT14	PEPT14	4
File3	P00098	Gene_15	False	0.009504693974417331	0.014872807323793265	15553053.23061884	106057.31219189808	79582.93648334965	[Prot]PEPT15	PEPT15	3
File1	P00032	Gene_16	False	0.0060062922417320405	0.0198235121914691	283276399.2335558	854163.6098428025	89150.23557189413	[Prot]PEPT16	PEPT16	3
File7	P00089	Gene_17	False	0.017320141614906255	0.01090714593727617	9148696.844824217	540736.7827748823	162673.0151059776	[Prot]PEPT17	PEPT17	2
File3	P00048	Gene_18	False	0.013872769817954614	0.009917552519512625	1034691.2485160644	2647020.0818204354	123994.69878014417	[Prot]PEPT18	PEPT18	3
File1	P00027	Gene_19	False	0.016536106815010675	0.0025545166458084754	794903.6731095946	1339060.6299857055	462964.0699520409	[Prot]PEPT19	PEPT19	4
File8	P00088	Gene_20	False	0.00812054435560787	0.006080918342778443	12012989.052875295	563839.9601610639	1199598.211742401	[Prot]PEPT20	PEPT20	2
File3	P00027	Gene_21	False	0.013514657214735949	0.003279606957896153	2720868.192374513	339546.4204911803	1777540.5463097377	[Prot]PEPT21	PEPT21	2
File5	P00015	Gene_22	False	0.003417086910386282	0.01831958446299399	1678160.5938284164	4696884.511690025	182899.31021581506	[Prot]PEPT22	PEPT22	3
File4	P00113	Gene_23	False	0.01706050923235742	0.00772889968646576	1553391.4936426142	934289.2789964748	279635.8028220776	[Prot]PEPT23	PEPT23	4
File3	P00032	Gene_24	False	0.019866227071315	0.007898394920401675	1085627.475571971	114483.69145553795	338610.6005274149	[Prot]PEPT24	PEPT24	2
