Accession	Description	Gene Symbol	Master	Protein FDR Confidence: Combined	Contaminant	# Peptides	# Unique Peptides	Coverage [%]	Abundance: F1: Sample, Ctrl	Abundance: F2: Sample, Ctrl	Abundance: F3: Sample, Ctrl	Abundance: F4: Sample, Ctrl	Abundance: F5: Sample, Treat	Abundance: F6: Sample, Treat	Abundance: F7: Sample, Treat	Abundance: F8: Sample, Treat
P00001	PD protein 1	GENE1	IsMasterProtein	High	FALSE	7	15	56.73251931631755	1472084.0352054536	1279008.454934171	7062873.622368379	46383756.24679022	7572677.118285492	887483.5455799804	1517291.5547197135	4060211.2119804085
P00002	PD protein 2	GENE2	IsMasterProtein	High	FALSE	2	2	32.82850187240808	2670391.5481324075	3206948.2754047536	5514145.553114328	1589909.0102059036	4384063.04447528	6290729.701620278	40635767.40547594	4050849.0826457837
P00003	PD protein 3	GENE3	IsMasterProtein	High	FALSE	15	16	7.555254450123257	1934351.1464036335	17536051.093810756	53759403.92185336	40679459.36529841	2432860.471852866	7577586.1717374185	5631773.4824178545	2183980.6192627726
P00004	PD protein 4	GENE4	IsMasterProtein	High	FALSE	2	16	17.082395265998056	3470274.1922399504	1043185.6295038348	13839637.003687542	22218457.0985568	336716.03291808994	6792529.10901667	9523945.008994123	6354340.726532197
P00005	PD protein 5	GENE5	IsMasterProtein	High	FALSE	23	20	79.16143625774832	20840307.594465524	9020976.16372932	1165389.1091601949	2551011.939722948	2748580.097951452	8072441.856909809	1364454.6699003507	3243356.4068749403
P00006	PD protein 6	GENE6	IsMasterProtein	High	FALSE	16	18	33.933326332616716	16503716.069595272	4012132.2960602245	7678780.10917723	4649087.722652215	1761650.563304258	58710.57301459679	836837.0277199203	4367265.818915525
P00007	PD protein 7	GENE7	IsMasterProtein	High	FALSE	19	18	21.6524765481344	1065985.24111451	1372101.9269604285	2238272.8970110295	2280035.8963087467	7775658.678750402	12910943.42958615	13207390.320816368	2382089.968237796
P00008	PD protein 8	GENE8	IsMasterProtein	High	FALSE	21	11	23.432405834983975	19474872.121197198	64913240.05534093	8229756.542897282	15435180.710433396	5140145.786211347	5775652.466311141	559057.9221632332	3265723.6787277088
P00009	PD protein 9	GENE9	IsMasterProtein	High	FALSE	9	15	73.83378531175272	13716999.604014747	29470956.355558004	14992762.772582432	4702950.126754791	537722.9697406938	3874903.1321829935	10944632.399637561	2795072.334551622
P00010	PD protein 10	GENE10	IsMasterProtein	High	FALSE	19	4	37.94250097420911	623963.3821363236	14672209.110606756	12215698.744563622	6278536.186961543	14324507.659418425	831123.2716132855	11669075.732063793	5263695.60614685
P00011	PD protein 11	GENE11	IsMasterProtein	High	FALSE	14	4	70.27892258283629	2606073.0763875362	2263120.0393691054	15422184.16752462	25908524.540837653	8650142.866491586	5290524.138562441	700072.139364507	353958.1969393716
P00012	PD protein 12	GENE12	IsMasterProtein	High	FALSE	17	2	76.46218486805903	12196835.881575467	1920173.838566488	8927725.632873543	12529625.601953883	5265571.885424704	864358.1241345007	15261156.770646205	1693950.0089548614
P00013	PD protein 13	GENE13	IsMasterProtein	High	FALSE	6	19	49.130935487886035	17332501.080270626	22960746.00394674	2465160.4985557157	6808334.646941313	3324467.419649084	1451259.231912289	2585005.5030946145	10661269.738197057
P00014	PD protein 14	GENE14	IsMasterProtein	High	FALSE	20	15	24.289757506817157	230252.65172729676	29666272.092761137	7761789.526824464	2770050.860636566	6982206.442549684	5925850.435925258	18602672.528586335	5326507.038041493
P00015	PD protein 15	GENE15	IsMasterProtein	High	FALSE	6	4	70.0502121741357	2800029.9453326743	2308298.2453767387	1274209.173638662	3122106.289673456	1581231.5841459837	4355062.932462514	6543677.2799702855	9003230.277186086
P00016	PD protein 16	GENE16	IsMasterProtein	High	FALSE	14	8	58.248139700404366	2796363.661216645	3676278.9260299862	2111137.2099227025	271863.88969875965	6085178.036108635	371660.20330584375	19683739.533810887	4525741.677196915
P00017	PD protein 17	GENE17	IsMasterProtein	High	FALSE	4	14	62.29400714874779	11273093.530427556	29462920.26314764	4033477.4391086805	35689722.46212748	3581777.135515383	6094664.330935426	1682057.1918480794	9030393.023565298
P00018	PD protein 18	GENE18	IsMasterProtein	High	FALSE	11	18	65.23051415532771	689873.5137459984	4695535.655538615	2626286.9393218006	3656039.188824791	1519222.3503848317	2108069.2637306866	1335103.7594008106	3713921.313659389
P00019	PD protein 19	GENE19	IsMasterProtein	High	FALSE	21	18	61.83594507761867	8544189.79948121	24932533.346129153	2739758.7564197	9582843.3219819	26998111.7016805	9429866.16897431	363060.52965761937	16014040.662166834
P00020	PD protein 20	GENE20	IsMasterProtein	High	FALSE	22	4	51.99103169943908	16239038.135166675	118017.2761761507	145836.68791532895	3770668.801604411	1664103.1985043276	590123.846422824	817506.3693717301	5676308.925187979
P00021	PD protein 21	GENE21	IsMasterProtein	High	FALSE	14	4	21.911444640689684	17176987.807755902	6555366.5238201935	4365513.7051706845	36490214.77428584	10445889.614109972	552051.6445517667	1574828.3684553015	5538434.876529403
P00022	PD protein 22	GENE22	IsMasterProtein	High	FALSE	14	12	41.508848459152766	377406.6756777584	304126.4195137173	16373833.325719079	9429905.573133113	464574.45651354356	4692746.70313735	27000548.8260018	907370.0340901674
P00023	PD protein 23	GENE23	IsMasterProtein	High	FALSE	22	10	23.397968158796544	13728402.074404165	2115438.5100932284	600267.3779253978	760375.7329689069	244196029.7518231	1633072.986431714	13916950.49045959	4401185.381748004
P00024	PD protein 24	GENE24	IsMasterProtein	High	FALSE	11	14	58.73128902842562	8657727.786490101	6673358.417765306	621488.7522668339	3201126.6327595664	829951.2423020636	21015942.729534715	286159418.96618813	2667515.424665117
P00025	PD protein 25	GENE25	IsMasterProtein	High	FALSE	7	15	20.43639433309628	1521473.070545943	23131363.396624897	2677283.013827504	1574233.5532502027	13453199.349599916	2900951.4281881633	3905532.3578669517	61031960.16683319
P00026	PD protein 26	GENE26	IsMasterProtein	High	FALSE	6	18	19.991078100196013	1684261.0005749206	2199996.563795712	385058.18697685393	40643153.78869515	980131.735604421	5696703.785469532	1821359.8101128747	1971137.9153040468
P00027	PD protein 27	GENE27	IsMasterProtein	High	FALSE	7	14	51.62832074187794	89780201.5238489	37678984.2066953	5546854.80590758	14749078.263354404	607638.1723381197	543547.764641438	2901265.5482950984	6282877.448201907
P00028	PD protein 28	GENE28	IsMasterProtein	High	FALSE	20	3	34.861385342401654	1021013.8412219117	7246306.470908057	113516393.71355207	3466127.1598495985	38935130.84867292	82784203.82094283	6837502.820293095	14511230.82989069
P00029	PD protein 29	GENE29	IsMasterProtein	High	FALSE	2	13	17.465223931680775	265727.24016150273	1126154.3968126848	373021.3677282001	12584707.473651169	2496535.6819095826	16078184.950254537	9037588.406620167	2086632.9708670944
P00030	PD protein 30	GENE30	IsMasterProtein	High	FALSE	20	20	74.38711803466363	5094429.819052117	3522470.922416061	2559494.271744887	3170115.9202378923	26848579.476052783	1082357.7927987087	4418876.421026321	1715647.8570595775
P00031	PD protein 31	GENE31	IsMasterProtein	High	FALSE	3	17	66.1402300334883	923770.0507471382	1267175.939952058	363121.9967729282	6572077.939664874	2354882.9959357884	10688215.38742635	2074845.0547066226	10628221.233533958
P00032	PD protein 32	GENE32	IsMasterProtein	High	FALSE	22	2	71.76097408326734	6697511.026976946	5246768.0078038685	523290.8648221693	3595606.67381236	6295744.127071053	11651757.598743109	5986280.464274571	4813288.038333647
