Protein	Protein ID	Entry Name	Gene	Protein Description	Protein Probability	Top Peptide Probability	Unique Spectral Count	Razor Spectral Count	Total Spectral Count	Unique Peptide Count	Razor Peptide Count	Total Peptide Count	Sample1 MaxLFQ Intensity	Sample2 MaxLFQ Intensity	Sample3 MaxLFQ Intensity	Sample4 MaxLFQ Intensity	Sample5 MaxLFQ Intensity	Sample6 MaxLFQ Intensity	Sample7 MaxLFQ Intensity	Sample8 MaxLFQ Intensity
P00001	P00001	GENE1	GENE1	FragPipe protein 1	0.9909033985426935	0.9950633564563444	14	24	20	7	11	7	1118425.9824880618	24891792.541111004	30874151.10637957	2707513.276368684	1110232.5855203052	2966191.9268467952	670868.6225489299	14396087.010378733
P00002	P00002	GENE2	GENE2	FragPipe protein 2	0.9942889121166999	0.9534196695483974	45	7	90	10	3	12	3310767.290772409	4114116.550025088	1602407.0270427847	5216650.067807012	2723614.6726967157	6335346.346695846	1699250.7998511372	1322503.1977910313
P00003	P00003	GENE3	GENE3	FragPipe protein 3	0.9922664192143547	0.920525748588443	15	24	52	2	5	18	2574424.995565133	14221537.160180286	6594771.846249594	18615251.429430675	7174770.8971583	1847696.7116983808	1025903.551694656	2551012.4662674335
P00004	P00004	GENE4	GENE4	FragPipe protein 4	0.9930173907158022	0.9130187472904335	49	50	63	17	20	24	3880244.1528131594	1036713.4714102106	3081597.51498669	2622021.118204412	31669729.136214938	8818629.296868803	3869740.353562622	13941523.538464338
P00005	P00005	GENE5	GENE5	FragPipe protein 5	0.9912549800488285	0.9599745634303627	33	36	72	4	17	13	2119439.488314196	3381343.8352362616	5561962.139482038	24177538.343181144	1801070.9424740314	4863932.104684076	2198297.1542451466	187769503.9472387
P00006	P00006	GENE6	GENE6	FragPipe protein 6	0.9979901393232413	0.9726924568384253	27	31	51	13	19	25	15357876.311533505	4329454.742978855	1897371.702533159	1037772.010466767	1356619.6142886013	5247942.8162835445	1430262.712364574	3433475.235992777
P00007	P00007	GENE7	GENE7	FragPipe protein 7	0.9949010296321367	0.965888791486251	20	16	79	8	13	19	1031503.6554141298	1920073.8208911465	3692347.7801114833	2765706.8435154916	15998799.839471398	10880361.626520324	6234872.446481272	10000377.494009685
P00008	P00008	GENE8	GENE8	FragPipe protein 8	0.9966882182219964	0.9950619653772595	32	17	46	8	18	5	3308113.260044351	1620113.5693467574	7338279.130175395	961376.2405063384	10184419.129621062	3087417.0793264136	1297251.054231154	7602278.822788399
P00009	P00009	GENE9	GENE9	FragPipe protein 9	0.9927308636973249	0.9426236937601897	32	40	60	12	4	6	6220996.282059325	2214158.3467563656	6032107.280539084	6796594.143538267	2656917.161235459	3777709.8559592436	7327765.525731371	503192.42612493347
P00010	P00010	GENE10	GENE10	FragPipe protein 10	0.9974220856905323	0.9702381740240672	8	46	91	19	4	18	1544324.3024550043	3238032.49704682	18665808.560825963	5146599.1283372445	17474673.768726073	5889118.989732093	12125587.400919097	406031.083919314
P00011	P00011	GENE11	GENE11	FragPipe protein 11	0.9950251803484886	0.9784991239868642	19	21	29	6	20	29	1786526.0370285737	1973635.9062342881	58431.939614733434	2737661.5100160707	1515664.926266188	1031120.8932281771	17923768.829945892	7657756.005776364
P00012	P00012	GENE12	GENE12	FragPipe protein 12	0.990224870020028	0.9963797167849152	38	43	23	3	11	7	4571684.72730628	9801009.263639327	748373.2385748128	375342.68835860793	480671.98486451374	5422717.071969163	3076211.2758850334	4673953.298341703
P00013	P00013	GENE13	GENE13	FragPipe protein 13	0.9998999662456327	0.938162054168193	40	14	72	14	3	15	8732591.532345742	480778.8040687095	6639568.330039173	5246173.632406681	993507.2131401214	1338593.8730995534	1026719.6441199846	2099319.0544281295
P00014	P00014	GENE14	GENE14	FragPipe protein 14	0.9998061628503442	0.9736816177456002	18	44	60	2	7	9	20352996.469680183	3419147.259504577	3438880.867355915	5553429.199274614	8707961.643712347	9374123.336556716	784985.9830772605	5648599.44714728
P00015	P00015	GENE15	GENE15	FragPipe protein 15	0.9933313251977395	0.9672472961980458	45	8	82	12	16	14	2728851.383515284	221873594.48708516	1357789.000628135	85589.65084867059	981655.6632913656	419393.95069243433	5493072.264568211	37881576.0281917
P00016	P00016	GENE16	GENE16	FragPipe protein 16	0.9909619726340586	0.9327010460255506	33	29	76	19	7	25	617718.1044390431	14932816.951381603	6045468.474027454	1539384.9648434601	15577760.274575414	551053.2053857126	9725538.486975389	7222599.417571101
P00017	P00017	GENE17	GENE17	FragPipe protein 17	0.9901759638678308	0.9655494506466143	5	31	85	17	3	15	5568720.759722792	11272965.652991256	6774492.486304696	18674465.068630133	14437160.595992073	3999280.0585574424	5316435.809124103	4671255.039165734
P00018	P00018	GENE18	GENE18	FragPipe protein 18	0.9974565115545264	0.939396667115511	44	20	10	11	11	14	15039756.33254869	2352068.461672214	21504057.35210454	11718809.563130291	771323.3264256977	1525012.8393356528	21804014.971601415	33271638.730289567
P00019	P00019	GENE19	GENE19	FragPipe protein 19	0.9934456017087683	0.9317469128534241	9	23	12	5	16	21	9305298.415573489	10151749.7558569	3500164.955980661	413820.1356341053	1653393.055629352	5849677.070101778	1619304.0114819442	1572914.6470402596
P00020	P00020	GENE20	GENE20	FragPipe protein 20	0.9998472892350471	0.97655067806072	21	22	70	15	3	13	436177.8947058325	19090117.85557816	11959221.39037723	2506938.43259536	32341036.418904282	2404796.331975435	2647779.8650689037	9806256.830816157
P00021	P00021	GENE21	GENE21	FragPipe protein 21	0.9935026556153864	0.9795993970085406	47	47	47	11	12	12	6263492.343992284	12961061.331707597	6962607.793174439	3805990.3453764687	2490180.5802606	3565377.87435576	4398769.91367941	1615137.754164021
P00022	P00022	GENE22	GENE22	FragPipe protein 22	0.9913364111073888	0.9486665523263751	42	50	44	12	20	18	6746764.191061806	968192.1086802935	6690359.38173278	1123978.67815212	2241383.772440415	49518815.253096014	699264.6096384211	1018003.8359005288
P00023	P00023	GENE23	GENE23	FragPipe protein 23	0.9907562047005382	0.9523128339773034	31	33	15	16	11	19	1603335.0089540284	855653.1760781271	10939768.875043947	5732459.535964954	390277.3829336381	55334535.07001291	2762396.274624611	2897248.459052437
P00024	P00024	GENE24	GENE24	FragPipe protein 24	0.9925675002257892	0.9981777822902783	18	26	76	19	6	23	41802448.70348253	3448621.725757494	14209028.538868094	821589.2035110502	6090746.914919179	16260911.08103265	2776468.3027654015	12084998.406707661
P00025	P00025	GENE25	GENE25	FragPipe protein 25	0.9917815914189771	0.9335593054644812	41	25	40	20	12	28	24495359.15467266	107385743.49421719	3423288.20618871	4652629.335040403	5919415.424890081	1227449.002741407	9546948.423654824	693441.4883697263
P00026	P00026	GENE26	GENE26	FragPipe protein 26	0.9941089629588513	0.9382619678152712	26	22	34	14	11	10	3297681.921405803	2257254.8589347713	2261164.394746432	12907109.39992768	6100625.194506734	1922328.484694383	1141144.9473795122	6598849.814497674
P00027	P00027	GENE27	GENE27	FragPipe protein 27	0.9953190340287297	0.908161386511186	29	17	51	11	6	13	9891079.79742792	3867332.4216880617	2012058.250437774	3026515.8296411936	3616576.0827600732	10068794.931328796	13176975.048628183	1247011.1896464403
P00028	P00028	GENE28	GENE28	FragPipe protein 28	0.9910676558087012	0.9038533415244799	43	20	90	3	7	13	6876977.720968248	45871771.232844956	20167425.390619244	3697504.9663281017	873040.8619252433	5906420.211352275	8150505.548421596	7258160.465433593
P00029	P00029	GENE29	GENE29	FragPipe protein 29	0.9909302356705018	0.9099047977452348	27	15	41	4	8	10	51912529.1192505	6229558.8905623825	5133688.423370101	464609.18784230243	131742215.94511902	13708979.36771066	29704649.35087141	3579647.210919143
P00030	P00030	GENE30	GENE30	FragPipe protein 30	0.997091778575179	0.9200957723282238	24	10	74	7	12	19	671545.5174349336	53967565.009258054	1292828.481978355	4815811.123772993	6945188.954795087	1055289.7673238781	1026267.3752810147	5260761.7670937665
P00031	P00031	GENE31	GENE31	FragPipe protein 31	0.9945307151789515	0.9711781330254268	10	7	79	19	11	12	50696.45748816809	1179667.6382829277	12503026.060812159	379325.6116995519	13834111.052457416	1753173.9070334353	2347692.7460617316	1299217.571634967
P00032	P00032	GENE32	GENE32	FragPipe protein 32	0.9906590373131557	0.9965911742252885	6	35	66	13	5	30	7502733.366410552	302550.6319913346	30637480.56551519	20633713.36526789	20457673.33092378	907042.1466730037	36361660.43577568	1881045.6147834044
P00033	P00033	GENE33	GENE33	FragPipe protein 33	0.9970441454940564	0.9139663497952377	19	21	55	19	19	27	22708068.604979128	1521754.9153928855	9002326.928244708	14616807.90057819	2393123.5377586456	12617991.623922154	2057726.9898245707	3019492.3054005597
P00034	P00034	GENE34	GENE34	FragPipe protein 34	0.9950882260651859	0.9060263164367384	34	32	16	20	7	16	3654997.692593283	4303034.730208697	1410403.6966271969	16534849.878455672	4442394.62733133	1687844.7334712867	2382788.679266193	14178260.92345303
