ProteinID	GeneSymbol	Description	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12
P00001	GENE1	Protein P00001	2993367.795674145	165648086.55692744		12215398.968788216	4560456.838694699	10133934.347033443	3961788.9773640935		114711260.07130273	302389.19406969467		3738614.6376474747
P00002	GENE2	Protein P00002	13722102.06137499	3510760.817055168	1666951.3751501127	1497510.358793418	34679545.9022404	756758.5483460331		263729825.1098123	4966277.571124089		1423545.060321497	208331156.44739714
P00003	GENE3	Protein P00003	10992288.18525614		2324816.147873143	6261966.281003814	54867596.830726355	16140196.327612821	1191474.0963189255	5612124.36703011	7009500.858470357	6464462.698563255	32065079.78554593	23682322.093591824
P00004	GENE4	Protein P00004		12791452.468830798		8859818.259681724	8348254.734399062	1876337.236113076		27543553.272415258	15583702.36762392	70920298.42909986	22729769.712858826	82177541.30279016
P00005	GENE5	Protein P00005	25489865.387768652	35325045.86892859	16628023.053101072	3568261.2860498615		3607468.514188581	982433.7908807264	2327776.839362152	40487064.89185038	33142934.13368023	58462178.336726055	10481755.408102343
P00006	GENE6	Protein P00006		9576439.250519127	888407.5239496226	1626660.6208580246	16958942.147982236	13924263.70275783	35000054.74224936	133960321.74614006	7583064.702815588	31054703.981706094	1840068.6592012628	22386985.895178832
P00007	GENE7	Protein P00007	2221493.6050172495	8412990.94119831	16319803.757796856	2040897.7647783065	6402603.164868776	3448598.864634317	53517461.99007366	89877142.2079492	25961735.860124208	6387573.974680933	187897439.7938319	22611591.042085096
P00008	GENE8	Protein P00008	1644716.040031164	342944.94956445403	2002715.4886108644	1073502.4567538518	3019208.281555604	864810.7103912765	1452564.2924037578	10068749.771569736	8602950.558995126	14568253.765244702	45765595.93598407	
P00009	GENE9	Protein P00009	33063001.53092426		4220563.748720493		2339842.4111604914		44963732.934809655	1926115.227464584	7961519.868881789	6915723.008746577		4302445.605583806
P00010	GENE10	Protein P00010		63661963.93908158	145799654.21154645	3574887.1470381045	3472008.597614662	706219.0404594364	20345975.743014455	8461633.19754624	18815098.07041045	6637625.324205349	11611632.353274448	2519706.104183743
P00011	GENE11	Protein P00011	298538.05446105264	6669292.091059154	283907.70991733426	9593960.560381537	4274412.355275788	301472.52691137017	21282894.64450677	11690683.657772172	5777725.053416447	4764533.231002153	4957837.256625525	17511660.651095245
P00012	GENE12	Protein P00012	10599829.674038243		9146174.74247598		1755309.4426943136	19970252.54440449	78131482.04974186	119209841.64669457	5046609.224258114	10698608.15995644	31143694.477398816	4239387.370737033
P00013	GENE13	Protein P00013	797791.8021031237	9389096.91627581	3638145.782343667	1398666.8686968684	44201794.44487163	14239334.42688831	9429845.498977963	6333355.96275171	23446828.668631125	177437871.78859186		1668035.6813305798
P00014	GENE14	Protein P00014	2022437.0644695477	1057903.1786928216	1078127.602329374	3692073.5074787196	1194517.055165006	6435937.020457387	11882241.833012562	32593107.857182283		193169201.1697692	38107702.615314916	17579537.900200207
P00015	GENE15	Protein P00015	8228807.887946623	3240716.782173186		1094914.3369718262	6243834.523241816	7674773.109328293	3419883.6841981695	23658501.6393004	7958462.744072243	120749285.77056432	8323713.642472153	29795607.689249963
P00016	GENE16	Protein P00016	19567944.767477088	3348837.1849994883	728203.3936783936	19517493.14560107	11352653.037923582	2060074.512041671	8704003.030055163	193732775.2881666	14644174.954087203	274845155.5081033	5685933.201086544	126454339.74116243
P00017	GENE17	Protein P00017		5748937.530468783	5818453.261435304	14507644.122909935	3530205.848232662	2755429.7663215883	175485195.51161155	1521132.528921501	2875122.77743988	13189145.455507264	9943205.360893406	5035009.7853934355
P00018	GENE18	Protein P00018	2487867.304671749	5553659.304279917	5613543.221622796	5973055.5376304295	613128.7723332779	772725.9481799552	22269792.509123836	13341562.25582167	18769868.242018696	12520814.056227906	22811760.159101818	14499712.680879703
P00019	GENE19	Protein P00019	2834480.7896852028	1749674.1732532629	2879147.1675902084			603072.1428579094	90208254.91840458	1971011.471694778	7980965.246964953	118214723.5003638	22304062.22466312	54458954.275817625
P00020	GENE20	Protein P00020		4209947.0469351355	18317511.601428226	6438890.06831885	10461500.789279697	6129421.001071127	41497978.01397365	11340948.097463768	9373535.53261282	6795652.661714395	25421256.946070578	75104347.4567701
P00021	GENE21	Protein P00021	668956.0939990282	14048390.536055284	843110.637982373	3161430.857156723	4499933.11245825	5068859.6465366185	10104448.686609333	68774979.85181896	38828511.99072092	12300225.356506513	7434505.675660383	1809929.0575894052
P00022	GENE22	Protein P00022	352341.28134132025	2312731.7605110994	3766079.1173211467	4137469.7501130532	37582107.10933708	16121600.1958263	56230844.044027135	27768140.130309466	50051888.41321262	436984073.56022453	18468255.106985737	18240643.34342755
P00023	GENE23	Protein P00023	1265681.1251805732	4310660.240994932	3628409.2380163213		20309020.110532798	1228229.365738796	11828152.34621845	13996591.857198706	6937421.982185873	56700091.74210506	3178123.5750642368	
P00024	GENE24	Protein P00024	42103369.288571104		1977987.1271095444	1190552.9239995764	1448959.529412089	8677023.451241292	181837867.2084828	2897322.0806559143	18873673.12345652	4733269.589837507	2071409.380101121	58059122.202392176
P00025	GENE25	Protein P00025	2229963.345784017	1816070.8452954998	19882788.844123527	61000022.38135549	1098513.2042288398	247023895.7761471	49064885.32488296	11467107.852165965	1677941.3256701964	50037714.307258345	26182635.975393094	
P00026	GENE26	Protein P00026	161191.30493696238	584316.8839601026	10505909.432179468	10528081.51437016	11196527.23470366	22757284.457894024	7201608.169156733		66038621.685068846	23713838.98273775	6041890.7199088745	8838975.616687508
P00027	GENE27	Protein P00027	47971893.02525244	3923677.1028166506	3090049.98519972	593204.1770416187	944171.9022458358	8939818.038812395	10368218.301004224	8154261.012914344	2191242.716735995	5050345.160656603	28977444.97685913	2787746.042793274
P00028	GENE28	Protein P00028	267946.066580735	934522.3320948965	2929551.6297958023	26777580.5413639	3859365.4697621036	4144410.747099662	9259119.216760347	2773107.2600065893	11719012.340451283	3593113.4763611737	2368954.472545064	12759772.674039869
P00029	GENE29	Protein P00029	265807526.42080975	6971400.8276535915	9794746.206077473	2366655.492200712	2891903.808189379	6630766.76793941	90879874.86826399	2915081.829174455	12732696.173714392	33624190.78915375	14014248.719082143	4870376.236798405
P00030	GENE30	Protein P00030	1050365.3356882553	3369525.409691977	33635662.53326693	1112349.7236740328	578136.4182781554	5148349.772654427	2620470.0379263936	22376083.39834773	32397198.644728754	94650809.70678167	4011922.420927467	5805716.04059018
P00031	GENE31	Protein P00031	2101600.3467664197	1727305.1581729313	3551512.226569776	8170629.779425642	4661117.0552704055	10311919.141020916	185004.7635644685	2121823.6965902513		5415982.767517092	677669.8906876951	12806116.370472653
P00032	GENE32	Protein P00032	2518739.059663168	620228.0207425503	725672.7647223321		11181700.504125543	84243097.52242179			66609.88221713935	1787948.1490076566	2126364.9481266476	401979.4116340588
P00033	GENE33	Protein P00033	28205836.33552566	25463530.68239085	1057518.310523796	1662955.1400534944	1936634.5267367286		822537.745971257	1000914.135933271	888675.266301823	145245.29883957523	150419.5678775652	307605.4874279745
P00034	GENE34	Protein P00034	14581813.662409233	813226.0276754505	1130834.6241888239	1128898.0019929605	3936640.5395534877	3311941.6531026666	6554104.559181852	247335.06953696886	1436206.9119876246	21098302.317318078	703446.9779885476	392888.1117697756
P00035	GENE35	Protein P00035	50990941.95631064	2240206.4621549384	5431369.005299428	2550803.490518155	17303074.02096753	2119078.854892064	2525482.0447914563	798845.4821384108	533404.4495628407	351864.8326290695	48253.25996857678	1028193.4278423942
P00036	GENE36	Protein P00036	2897425.1351451757	10961856.46874549	2242794.540068187	1162645.2821161114		4157941.5371374586	72955.95536822251	5938482.393045033	6063964.935545787	1936914.6237214226	944584.4264539285	153111.18549782378
P00037	GENE37	Protein P00037	5138012.468783781	443174.9097143339	2360172.857917943	7194341.778573069	42550711.38429613	23247978.6488747	236068.72112253553	1066327.2857325429	592655.3157580227	666198.2676128234	60615.63717405266	397225.5951826853
P00038	GENE38	Protein P00038	23732520.951580614	1222199.3493985923	583559.8689809993	2820341.243167058	31467566.232011847	960324.005563659	960381.4865057232	150249.16987537133	1286581.0392918298	1373143.169423961	4127372.777174922	1651474.0702196187
P00039	GENE39	Protein P00039	909736.6072405578	28150489.28297454	8872515.281570729	1998984.4603263761		4310851.272099112	7912430.543106575	1175952.4370108496	2095679.454252101	805498.0535680136	3734874.434365875	1234400.9614728044
P00040	GENE40	Protein P00040	2312092.609232283	2915482.6326519446	1653227.3643719535	135985.07679473786	131975365.5835074	41788797.129783064	82017.21093369139	240694.00630802513	1681756.216380325	4661470.165472874	1401950.5519681913	
P00041	GENE41	Protein P00041	15490139.67154921	1599998.5891777351	3760290.6329688425		119421.27947640902	18916842.34301726	907404.3477270772	324367.10225878446	1162233.15829864	185582.9039116308	695353.845718219	12075156.18082223
