Protein IDs	Majority protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Mol. weight [kDa]	Q-value	Score	Reverse	Potential contaminant	Only identified by site	LFQ intensity Experiment1	LFQ intensity Experiment2	LFQ intensity Experiment3	LFQ intensity Experiment4	LFQ intensity Experiment5	LFQ intensity Experiment6	LFQ intensity Experiment7	LFQ intensity Experiment8	iBAQ Experiment1	iBAQ Experiment2	iBAQ Experiment3	iBAQ Experiment4	iBAQ Experiment5	iBAQ Experiment6	iBAQ Experiment7	iBAQ Experiment8	Intensity Experiment1	Intensity Experiment2	Intensity Experiment3	Intensity Experiment4	Intensity Experiment5	Intensity Experiment6	Intensity Experiment7	Intensity Experiment8
P00001	P00001	GENE1	MaxQuant protein 1	2	22	9	10	101.0037499953314	0.008802640057415587	183.1689244300658				93638.88993356077	2167546.5972848358	65681561.22028536	649951.6162242536	1685572.7201710658	28218834.163475003	1367362.8233002957	4799074.09323982	818831.3119348115	655316.2995841395	249564.75659216923	2487853.2283741185	6597806.300543806	270033.70272417116	3954028.2521905936	210083.61401514648	13133233.65942491	2989894.8197541605	3095401.238653578	71111794.37682642	9053700.031530276	134011461.2579754	2469418.6924891635	116170332.00335625
P00002	P00002	GENE2	MaxQuant protein 2	2	30	4	13	33.40474489455794	0.0032167114145731715	110.66955721526135				4101854.1321533467	4898327.23059908	1305868.14771716	3494855.168390354	2085218.80703126	7252857.864544529	5528747.679723086	5272455.887260145	5209080.073314347	201613.97104799486	540136.1890347429	807723.2187863633	1588099.4644026933	1842121.1629676253	863747.8635707253	1622221.0614670918	7231779.762099653	21085986.41708126	17056257.545682315	55536078.47288239	1843269.6395577928	12658889.74168211	2838966.0458218846	32120449.409892976
P00003	P00003	GENE3	MaxQuant protein 3	3	17	4	2	101.42250837502017	0.0037916895566790787	245.12650065411424				36284116.91268535	25570988.35692433	23552923.847491287	4928054.898401177	1352622.5311973894	6375484.804277115	21901190.21007431	1048188.2574870347	2429956.933613013	4190280.9050588096	796027.4878963045	829275.214128335	5215090.75076746	2801006.2795289923	859863.1474725287	226512.97663920134	1958156.8041198237	18216328.270717584	6947798.773926849	142006432.1327699	39291867.88972816	5745853.078183293	33444890.702482384	10037156.007900838
P00004	P00004	GENE4	MaxQuant protein 4	3	7	5	7	183.8471398891377	0.003197106839866842	288.0898991341992				8560961.851655288	2627766.2817775323	3401848.960082594	1168554.74693157	234958.47066031027	16991019.455193035	1519379.9512045765	23450529.73185955	162223.2422366836	7990496.409570872	855230.0243708024	770757.9950679282	988311.3921830251	54802.091393955554	5099280.117112071	1191905.2610295434	18353593.748258296	639604.8340326127	15452842.480237233	11631517.7327612	15262523.626181645	4151030.7586968937	5667092.246290795	6090503.666396623
P00005	P00005	GENE5	MaxQuant protein 5	1	20	15	18	139.15541440673053	6.780429620793726e-05	284.7771509656485				298132.7825309832	20761502.155411005	5633765.510422731	2091538.5879847044	5525278.332915678	4499250.057546018	6708028.671196827	376999.7642166275	1151167.3434169944	2052440.5609902286	199261.76477443217	6656874.2237859415	892245.594025256	65030.06215169462	10224875.073078517	659668.407164377	9544142.871230597	6756710.312162715	132438880.59884742	9384138.470655136	3390624.3035230064	3632516.4928332483	19890657.95603148	20610153.708271824
P00006	P00006	GENE6	MaxQuant protein 6	3	14	17	16	61.523297864343846	0.008676341331158114	181.96653538029264				7360919.828518333	1684215.4571418518	9215615.176336657	18981747.898123655	11786096.066966757	14012660.262192395	1269783.5922257837	5527713.198845683	1035528.0606970023	888224.8871110005	2285905.9181061294	1177903.5293690194	2537601.3184679598	8418935.986946454	1219162.0987606498	7064067.523838976	16043746.174664631	1896051.524332733	1933148.7277739034	2921162.6977500943	24187235.587090902	6279428.5446654605	9154903.882134808	2697916.4705072464
P00007	P00007	GENE7	MaxQuant protein 7	4	2	13	4	32.24321563567433	0.009708660854976773	211.25179444885893				13891864.0519102	2996925.7628612183	4864704.73104208	2883518.7921447544	5086262.353249364	49052870.357452385	367539.7374299133	3281902.3428355493	123812.8951117793	6755625.04884149	5808803.072495141	2598893.3936813106	1485095.798211741	2469544.5032401066	3122300.919326181	391559.4271471512	12947007.774500377	2945283.9096619273	5767484.796452354	417075.89709835406	4131285.5826848526	4062113.251458896	1576082.7123467855	432946.2060606396
P00008	P00008	GENE8	MaxQuant protein 8	4	16	22	14	193.25857079575033	0.0036891711330787435	160.19608221623736				2589756.8248798302	53382537.92018993	8522833.967682915	7196321.835571002	972606.8005131652	61085996.488719344	6087234.011208126	2222376.967859947	1292599.33336746	12363772.751922954	4060738.9196388265	654344.1002753807	6757168.446667221	12319194.099950522	89010.1949523883	1038028.9630730659	5119330.912632585	12122832.716878738	2124587.507130557	4612052.376857808	15666613.569930822	8505137.050277684	36244056.10971544	6142984.001751556
P00009	P00009	GENE9	MaxQuant protein 9	2	18	11	7	112.62464557827177	0.005436688991841596	120.77514677540789				213782.6649429823	9326114.953150202	4605389.943572984	12066804.047530152	1667880.4001287925	55449737.73418468	1787661.6987474123	48734323.57196631	13470177.052328842	308527.81556872366	1423289.7314968624	443867.5638974575	89908.34506474262	2313683.2313062223	1101553.482836366	6875221.333117346	77573101.60087828	808427.575686713	5551135.340307594	14738526.811543504	27486211.68143311	10601682.82189848	2860817.2808350646	6040934.993269173
P00010	P00010	GENE10	MaxQuant protein 10	3	28	22	10	76.65426221097933	0.00289241341940356	78.66455760436736				8576254.201541508	233057.19099234842	36343147.885114826	6435020.821197032	15890487.135816721	7277525.172881174	1243468.164707076	64645936.763698414	230993.62115433443	2064813.2635312602	543841.3626103777	2418848.603234365	1070772.2323615127	1723252.2027203296	6004323.235400721	1228107.3219526361	7214819.684977023	1068903.115259223	6594851.924329771	521053848.18887395	30680227.04754486	16895542.837003294	5415657.175255505	17826478.221527416
